# LI - Laser Interferometer Gravitational-Wave Experiment (LIGO)
# Station, Lat, Lon, Elevation, Success Period (day), EQ Period(day), Period Ratio, Begin, End, Successful, Total, Name
LTL,30.54,-90.77,21 m,?,67.4,.00,AD 2000.11.22 05:00:00.000 GMT,AD 2499.01.01 00:00:00.000 GMT,0,30,LTL Lake Havasu City AZ USA,class edu.sc.seis.sod.velocity.network.VelocityStation
LTH,46.46,-119.42,157 m,87.9,20.8,23.71,AD 2000.11.22 00:00:00.000 GMT,AD 2499.01.01 00:00:00.000 GMT,23,97,LTH Bishop CA USA,class edu.sc.seis.sod.velocity.network.VelocityStation
