#Stations within latitude (30.0, 50.0) and longitude (-126.0, -114.0)
#Net,Station,Lat,Long,Elev,Est.Thick,StdDev,Est.Vp/Vs,StdDev,AssumedVp,Vs,PoissonsRatio,NumEQ,Complexity
BK,WENL,37.62,-121.76,139 m,25.0 km,10.474 km,1.78,0.105,6.391 km/s,3.595 km/s,0.27,9,0.693
CI,SMM,35.31,-120.00,0.6 km,25.0 km,9.856 km,2.10,0.182,6.1 km/s,2.908 km/s,0.35,19,0.654
XN00,GOBI,35.94,-120.54,700 m,39.0 km,9.878 km,2.02,0.135,6.183 km/s,3.068 km/s,0.34,3,0.735
CI,RPV,33.74,-118.40,64 m,19.0 km,0.561 km,2.07,0.057,6.048 km/s,2.925 km/s,0.35,107,0.533
US,WDC,40.58,-122.54,300 m,25.0 km,0.0 km,1.74,0.014,6.566 km/s,3.785 km/s,0.25,49,0.396
US,ELK,40.74,-115.24,2210 m,30.5 km,0.282 km,1.81,0.034,6.276 km/s,3.463 km/s,0.28,83,0.494
CT,ICAN,37.50,-121.33,312 m,34.25 km,0.864 km,1.68,0.050,6.391 km/s,3.804 km/s,0.23,19,0.425
CI,SVD,34.11,-117.10,574 m,32.5 km,0.219 km,1.89,0.017,6.276 km/s,3.312 km/s,0.31,95,0.443
US,CMB,38.03,-120.39,719 m,55.75 km,5.179 km,1.76,0.061,6.597 km/s,3.754 km/s,0.26,73,0.753
TA,O03C,40.00,-122.03,85 m,27.25 km,9.881 km,1.78,0.053,6.472 km/s,3.631 km/s,0.27,3,0.487
YS01,GPSS1,42.50,-123.37,800 m,40.25 km,5.554 km,1.75,0.132,6.522 km/s,3.721 km/s,0.26,3,0.654
CI,MPP,34.89,-119.81,1.7 km,27.0 km,5.163 km,1.90,0.084,6.1 km/s,3.202 km/s,0.31,20,0.458
AZ,SMER,33.46,-117.17,355 m,32.5 km,0.273 km,1.75,0.016,6.264 km/s,3.579 km/s,0.26,32,0.401
LB,TPH,38.08,-117.22,1883 m,35.0 km,0.204 km,1.77,0.009,6.276 km/s,3.541 km/s,0.27,55,0.258
XJ97,WHP,36.59,-118.22,2388 m,34.25 km,1.324 km,1.77,0.037,6.291 km/s,3.544 km/s,0.27,4,0.398
TS,VTV,34.57,-117.33,847 m,32.25 km,2.96 km,1.68,0.069,6.276 km/s,3.741 km/s,0.22,41,0.727
XJ97,SFT,36.23,-118.06,1753 m,31.75 km,7.209 km,1.85,0.108,6.291 km/s,3.401 km/s,0.29,5,0.454
XJ00,BRK,42.55,-114.96,1219 m,40.75 km,1.76 km,1.65,0.045,6.291 km/s,3.807 km/s,0.21,12,0.649
TA,M04C,41.78,-121.84,1391 m,39.0 km,7.854 km,1.77,0.103,6.566 km/s,3.715 km/s,0.26,5,0.710
CI,TIN,37.05,-118.23,1197 m,35.0 km,0.445 km,1.80,0.010,6.291 km/s,3.49 km/s,0.28,134,0.453
AZ,WMC,33.57,-116.67,1271 m,31.0 km,1.874 km,1.79,0.025,6.264 km/s,3.499 km/s,0.27,82,0.433
CI,PDM,34.30,-114.14,144 m,28.0 km,0.202 km,1.70,0.022,6.276 km/s,3.692 km/s,0.24,32,0.280
CI,FMP,33.71,-118.29,89 m,22.75 km,2.633 km,1.63,0.046,6.048 km/s,3.699 km/s,0.20,11,0.562
BK,FARB,37.70,-123.00,-18.5 m,21.0 km,0.778 km,1.80,0.042,6.183 km/s,3.43 km/s,0.28,17,0.261
CI,DVT,32.66,-116.10,881 m,26.0 km,15.03 km,1.89,0.127,6.264 km/s,3.318 km/s,0.30,15,0.461
UW,MEGW,46.27,-123.88,332 m,41.5 km,7.796 km,1.60,0.158,6.566 km/s,4.097 km/s,0.18,3,0.801
CI,LGU,34.11,-119.07,381 m,30.25 km,0.113 km,1.60,0.002,6.1 km/s,3.807 km/s,0.18,139,0.452
TA,Y12C,33.75,-114.52,196 m,25.25 km,0.599 km,1.85,0.042,6.155 km/s,3.331 km/s,0.29,38,0.319
XH94,PHR,37.65,-114.99,1585 m,35.25 km,2.311 km,1.62,0.045,6.276 km/s,3.868 km/s,0.19,3,0.497
NR,NE73,30.07,-115.35,489 m,36.0 km,2.538 km,1.89,0.048,6.276 km/s,3.321 km/s,0.31,12,0.421
TA,P05C,39.30,-120.61,1756 m,41.75 km,3.234 km,1.89,0.075,6.597 km/s,3.482 km/s,0.31,25,0.556
US,NEW,48.26,-117.12,760 m,36.25 km,1.734 km,1.68,0.042,6.571 km/s,3.905 km/s,0.23,79,0.643
CI,EDW2,34.88,-117.99,772 m,30.25 km,1.9 km,1.77,0.063,6.276 km/s,3.546 km/s,0.27,34,0.527
XN00,BUZZ,36.02,-120.60,635 m,56.75 km,12.032 km,1.60,0.157,6.391 km/s,3.994 km/s,0.18,2,0.876
UW,HOOD,45.32,-121.65,1520 m,39.25 km,4.85 km,1.82,0.134,6.597 km/s,3.62 km/s,0.28,23,0.603
CI,MPM,36.06,-117.49,1839 m,31.25 km,0.117 km,1.77,0.006,6.279 km/s,3.542 km/s,0.27,195,0.229
CT,SAVY,37.39,-121.50,600 m,25.25 km,0.702 km,1.90,0.072,6.391 km/s,3.359 km/s,0.31,17,0.365
TA,A04A,48.72,-122.71,23 m,40.25 km,4.761 km,1.69,0.137,6.566 km/s,3.897 km/s,0.23,19,0.668
CI,MWC,34.22,-118.06,1.7 km,27.25 km,5.416 km,1.91,0.151,6.1 km/s,3.185 km/s,0.31,150,0.642
CI,SDD,33.55,-117.66,120 m,27.0 km,0.175 km,2.04,0.014,6.264 km/s,3.078 km/s,0.34,75,0.365
AZ,CRY,33.57,-116.74,1128 m,31.75 km,0.109 km,1.78,0.012,6.264 km/s,3.519 km/s,0.27,121,0.212
TA,N02C,40.82,-123.31,0.0 m,34.75 km,10.259 km,1.64,0.201,6.566 km/s,4.01 km/s,0.20,5,0.605
BK,HUMO,42.61,-122.96,555 m,37.0 km,6.109 km,2.10,0.246,6.522 km/s,3.109 km/s,0.35,39,0.748
TS,SVD,34.10,-117.10,600 m,33.25 km,2.625 km,1.88,0.056,6.276 km/s,3.338 km/s,0.30,19,0.492
TS,NEE,34.82,-114.60,139 m,26.75 km,5.856 km,1.84,0.116,6.276 km/s,3.415 km/s,0.29,27,0.511
XH94,GAR,38.88,-114.10,1977 m,37.0 km,0.214 km,1.73,0.014,6.276 km/s,3.633 km/s,0.25,25,0.268
G,SCZ,36.60,-121.40,261 m,49.0 km,8.716 km,1.72,0.051,6.391 km/s,3.726 km/s,0.24,144,0.709
TS,GSC,35.30,-116.81,990 m,29.0 km,1.9 km,1.83,0.056,6.276 km/s,3.429 km/s,0.29,135,0.650
LB,BMN,40.43,-117.22,1594 m,29.25 km,0.205 km,1.80,0.009,6.276 km/s,3.491 km/s,0.28,47,0.213
XJ97,BGR,36.63,-119.02,954 m,47.25 km,10.345 km,1.60,0.196,6.291 km/s,3.926 km/s,0.18,10,0.844
TS,OSI,34.61,-118.72,706 m,61.0 km,5.855 km,1.82,0.109,6.1 km/s,3.347 km/s,0.28,3,0.739
XN00,RCKY,35.96,-120.61,703 m,20.25 km,18.158 km,1.69,0.095,6.183 km/s,3.664 km/s,0.23,3,0.608
AZ,GLA,33.05,-114.83,579 m,26.0 km,0.62 km,1.71,0.034,6.155 km/s,3.594 km/s,0.24,14,0.221
AZ,FRD,33.49,-116.60,1164 m,32.25 km,0.226 km,1.69,0.007,6.264 km/s,3.706 km/s,0.23,141,0.499
TA,S05C,37.35,-120.33,85 m,28.75 km,0.201 km,1.60,0.050,6.391 km/s,3.994 km/s,0.18,38,0.757
BK,MOD,41.90,-120.30,1554 m,39.25 km,2.34 km,1.69,0.033,6.566 km/s,3.885 km/s,0.23,45,0.575
TA,F04A,45.93,-122.42,0.2 km,47.25 km,7.172 km,1.92,0.127,6.566 km/s,3.42 km/s,0.31,3,0.779
US,SAO,36.76,-121.44,350 m,27.0 km,5.859 km,1.60,0.158,6.391 km/s,3.994 km/s,0.18,25,0.882
XJ97,SFK,36.37,-118.81,812 m,42.0 km,2.205 km,1.76,0.046,6.291 km/s,3.564 km/s,0.26,3,0.417
AZ,KNW,33.71,-116.71,1507 m,33.25 km,0.443 km,1.77,0.021,6.264 km/s,3.529 km/s,0.27,101,0.420
IM,NV32,38.33,-118.30,1829 m,35.25 km,13.093 km,1.71,0.098,6.279 km/s,3.677 km/s,0.24,12,0.651
US,HAWA,46.39,-119.53,364 m,37.0 km,0.246 km,1.66,0.015,6.419 km/s,3.861 km/s,0.22,78,0.577
TS,SMTC,32.95,-115.72,-50.0 m,22.5 km,17.706 km,1.60,0.156,6.155 km/s,3.847 km/s,0.18,4,0.925
UW,TAKO,43.74,-124.08,46 m,26.0 km,4.896 km,1.89,0.068,6.048 km/s,3.192 km/s,0.31,6,0.570
CI,BFS,34.24,-117.66,1.3 km,36.0 km,4.588 km,1.72,0.114,6.276 km/s,3.643 km/s,0.25,23,0.762
CI,CIA,33.40,-118.41,467 m,25.25 km,0.542 km,1.60,0.019,6.048 km/s,3.78 km/s,0.18,143,0.597
BK,YBH,41.73,-122.71,1060 m,39.5 km,6.691 km,1.94,0.124,6.566 km/s,3.385 km/s,0.32,18,0.533
XN00,VINE,35.95,-120.54,610 m,26.75 km,13.658 km,1.88,0.095,6.183 km/s,3.293 km/s,0.30,3,0.502
