TA,T06C,37.01,-119.71,216 m,25.25 km,13.429 km,1.71,0.121,6.291 km/s,3.679 km/s,0.24013826,21,0.822
TA,109C,32.89,-117.11,150 m,63.75 km,15.394 km,1.77,0.182,6.264 km/s,3.539 km/s,0.26557738,29,0.906
TA,I03A,43.97,-123.28,0.2 km,,...,,,...,...,,,
TA,I02A,44.00,-123.83,0.2 km,,...,,,...,...,,,
TA,HELL,36.68,-119.02,1145 m,47.0 km,3.361 km,1.89,0.029,6.291 km/s,3.333 km/s,0.30488995,10,0.203
TA,B05A,48.26,-122.10,0.2 km,,...,,,...,...,,,
TA,A05A,49.00,-122.09,0.2 km,,...,,,...,...,,,
TA,V04C,35.64,-120.87,431 m,24.75 km,2.298 km,1.71,0.078,6.183 km/s,3.621 km/s,0.2389792,15,0.547
TA,BNLO,37.13,-122.17,794 m,25.5 km,1.097 km,1.79,0.042,6.183 km/s,3.459 km/s,0.2722258,9,0.418
TA,O03C,40.00,-122.03,85 m,27.25 km,4.25 km,1.78,0.045,6.472 km/s,3.631 km/s,0.27035847,3,0.487
TA,T05C,36.90,-120.67,46 m,,...,,,...,...,,,
TA,C03A,47.95,-124.57,0.0 km,,...,,,...,...,,,
TA,H02A,44.68,-124.00,0.2 km,,...,,,...,...,,,
TA,D04A,47.11,-122.80,0.0 km,,...,,,...,...,,,
TA,V03C,36.02,-121.24,336 m,41.75 km,5.81 km,1.60,0.069,6.391 km/s,3.994 km/s,0.17948721,7,0.825
TA,I06A,43.94,-120.21,1.3 km,,...,,,...,...,,,
TA,O04C,40.32,-121.09,1513 m,40.5 km,6.059 km,1.67,0.134,6.566 km/s,3.932 km/s,0.22049865,20,0.747
TA,R04C,38.26,-120.94,115 m,39.0 km,3.446 km,1.89,0.124,6.597 km/s,3.491 km/s,0.3056063,36,0.685
TA,D05A,47.19,-121.99,0.3 km,,...,,,...,...,,,
TA,O07A,40.16,-118.88,1.2 km,,...,,,...,...,,,
TA,SUTB,39.23,-121.79,252 m,44.0 km,10.281 km,1.81,0.112,6.597 km/s,3.65 km/s,0.27944967,5,0.604
TA,S04C,37.51,-121.33,310 m,34.25 km,7.879 km,1.60,0.074,6.391 km/s,3.994 km/s,0.17948721,10,0.795
TA,M04C,41.78,-121.84,1391 m,39.0 km,9.346 km,1.77,0.106,6.566 km/s,3.715 km/s,0.26460135,5,0.710
TA,S06C,37.88,-119.85,1377 m,37.25 km,4.358 km,1.70,0.148,6.291 km/s,3.706 km/s,0.23425546,6,0.708
